address,balance,Days_held,Amount_Received(OP),Amount_Sold(OP),percentage_spent,TDR,Wallet_Age(Days),From_Count,To_Count,Past_participant
0x10a669eaf229c464f12ee0a26af18dbab442677c,0.00017,0,20.36788473541356,20.370842309602335,100.0,0.277,487,47,53,True
0x2c39c02c2faf069e9348ea7c319f3f017e721cd2,0.00687,68,6.202802441676894,0.0,0.0,5.556,146,47,53,False
0x045890c066b85e658b48b52bd3702dfea3dae824,0.00896,68,4.955612942436054,0.0,0.0,0.384,179,32,34,False
0x871efe8009404f217bb1f59d6b02282eb6fbc420,0.04519,11,73.51777171059334,77.23927601489764,100.0,0.372,508,39,61,True
0xcdbf5cc03c9f04fcdc03de487c17d802ab1c3d5a,0.00339,68,6.3657119501631,2.5922878178138755,40.72,0.11,388,19,20,False
0x3a7283652c471adfaa6822ae6794e392b1364730,0.01139,68,3.0862288414123547,0.0,0.0,0.667,150,31,33,False
0x17b85cd288ca385df32f0d3fee010cad714e55e7,0.0019,68,3.3789336903016016,0.0,0.0,1.405,110,26,33,False
0x1a67f175ffa73e12c274ba2d4add99a020ffb112,0.0003,43,4.32714616471815,5.327157912379849,100.0,0.667,123,29,37,False
0x4ad2f734c49c79d94be54f7d820b5a33e938d194,0.00126,68,3.0050730848171865,0.0,0.0,1.091,134,35,37,False
0xe07b78c09f698997ec1555e3d36e8c75e94bf258,0.0,68,3.428083190484957,0.0,0.0,0.726,163,33,36,False
0xaea82a310c6dc710f438f1d9ad43df673dae408d,0.02904,38,135.09040270809902,135.09040270809902,100.0,0.027,321,4,4,True
0xbeaed017288ee3a50de5c6ebc9b67a857f577949,0.00171,68,3.1550796542552373,0.0,0.0,1.14,119,27,30,False
0xcc8e3fe8da6bba414b6cf46692ab028fc2f7e563,0.00012,68,4.396270722755296,0.0,0.0,1.077,133,32,38,False
0x03ec1e3c13fb6b2b81e600842f22c52389d2e3d5,0.00106,68,2.941236788283069,0.954,32.44,0.472,131,25,26,False
0xd5d60a20042489a4c2ecb75f1c054422f7ddf9c2,0.00164,68,3.4015566141736664,0.0,0.0,1.613,99,23,27,False
0x8527fb73a2020aab707340c820ff4c7fee0c2f88,0.00154,0,34.24673396421319,35.0,100.0,0.435,322,48,52,True
0xf98f913b70d7d45edc32d6f9dd3c0b2e7a36e9a3,0.00096,68,9.239029769315056,8.360893085305982,90.5,25.0,135,50,50,False
0x9e14a323611562069b92522d4b57757883c191ff,0.0,68,4.749470940935397,0.0,0.0,0.137,316,18,16,True
0xa13385107fe845d4c39a139b772d6960bd737cc5,0.00302,68,2.9467968461641902,0.0,0.0,1.6,98,23,25,False
0xd787e6d7ec9208ab0bd22527866121c227ba87b4,0.00617,68,3.5393178745867906,0.0,0.0,0.581,118,31,37,False
0x9d148cff3d3cc84e0c366663cbaf818978247675,0.00154,68,5.62910832394481,0.0,0.0,0.847,127,49,51,False
0x340f72b122ae5c6f4e89e8f72ce59443b17c2f53,1e-05,15,4.793080870711259,5.06328790683128,100.0,1.397,121,42,53,False
0x8c8e9120dd84347316d640034314474b0cf36d9c,0.00753,68,3.0610429410354434,0.0,0.0,0.579,129,30,36,False
0x7c6f8ba71621d69716d3d6e30a3e349e2a7a8d9e,0.22832,68,3.177666274606576,0.0,0.0,0.035,322,4,5,True
0xeef6c37c1e9cb5b7991b0c1bd178eacea8c04335,0.00053,35,6.434061931680933,8.0,100.0,1.587,290,51,49,False
0xf3fefb661a19dc87e7e6a6b012efaff12fbe1e41,0.00314,15,142.13797097374072,166.580032,100.0,0.714,517,37,63,True
0x881d79fb3442e52ae955580cec2fbf8cb4481efa,0.01658,68,3.030308874465728,0.0,0.0,0.024,321,3,3,True
0x08710502b61c4ff77839b9701aa6efa788e7f6db,0.00043,68,3.6130330751104034,0.0,0.0,1.818,101,28,32,False
0x45d1e217bcd78a4fc784907efa5868c69f193e39,0.00035,0,96.26884608331724,96.26884608331724,100.0,4.0,357,49,51,False
0xd2169f817b936fa0c4023eb97b190d1495d342b8,0.0015,68,2.886586607438225,0.0,0.0,0.595,199,40,38,False
0xe81608c183a245c9847174a2fe3ae22bac5b4c33,0.00069,68,5.178811656123557,0.0,0.0,3.226,123,45,55,False
0xf973f23374f990346cbbe2a06375ce119cf1f706,0.02632,68,4.045581572792665,0.0,0.0,5.0,248,50,50,False
0x367ca4480d7e069e3e357cf93a745982982fdf46,0.0032,68,190.57720514294024,66.0,34.63,0.279,426,50,50,True
0x32d1b6ffde83dd73c040a50ba907655c4788400a,0.0,68,3.35824718475731,0.0,0.0,1.333,104,23,25,False
0xe23430b4410cce3099c8cfa744c34cd8041e8ba8,0.00019,68,6.094311788447398,0.0,0.0,0.755,103,36,35,False
0x229fd4fc7ca05e61d626ea0d8fe2622ab01fcf6f,0.01906,68,75.00615324791387,0.0,0.0,0.024,321,1,5,True
0x3d29edf307bbc7828b01ec6bfc2675a6fa7193b6,0.00278,68,3.5429229353377694,0.0,0.0,0.016,321,1,3,True
0x0bd27fac898a59680b9dc92bb7378df610825e8d,0.66757,0,254.33526011560696,709.0,100.0,0.602,487,54,46,True
0x6f74d678f1f70b88f19e458fd3f5f29a83cdbf4e,0.057,3,15.978754451309973,15.978754451309973,100.0,0.039,321,7,5,True
0x1cf3b4b3906748dc15fb1ef5cc7a3adebd0e2115,0.00115,45,16.17606616697618,24.391108189214627,100.0,20.0,212,48,52,False
0x8f3f7f7698d9977f8d08102f0e800a2c414115fc,0.01441,68,16.161167824368228,2.7276867350837297,16.88,5.556,216,41,59,False
0xd47db9ca7aa3b49090671a6c809944a3e36a6b54,0.00029,68,3.1606250423710347,3.16,99.98,0.535,168,26,28,False
0x58adab7ba988db904aedd35830f3b2b4fd0f06cf,0.04575,68,6.267787161302316,0.0,0.0,0.012,321,1,2,True
0xef29d88e6a77f9b65c78352b210c618b0c725bec,0.00292,68,3.775695438358909,1.0,26.49,0.864,126,25,26,False
0xf1dc615d9bdce012bdf4c6249e487aa2c60bd272,0.00074,37,3.2838014537530555,3.284531772709058,100.0,0.677,96,22,22,False
0x6cf77b3e177accfe70b0a16b201aeec89e0dbf00,0.00309,68,5.260238706620056,2.460283965343026,46.77,0.264,296,37,39,False
0x4d0b8e10d030b5c984a475191f6695c21ed5156b,0.00263,0,7.298703366788742,7.398703366788742,100.0,0.14,478,26,40,True
0x05b116d8a35326cff3529ea1a23806323c5510a7,0.00326,39,5.017039076279237,13.0,100.0,0.561,124,30,34,False
0x79c19906ffcd300d421532fc7a586dc09e499f71,0.00203,2,3.104848938971253,3.3,100.0,1.514,100,27,26,False
0xc9510fe4ea7a3d9abbac1f3806ca35ef85c7a6c8,0.00198,0,6.09338673580576,6.093386735805761,100.0,0.036,401,6,6,False
0x811ddc79c4db8c4daf3a0b2958be674e020feb69,0.00104,68,3.848504400265663,0.0,0.0,1.568,105,26,32,False
0xe709d7cbadc56c331db86a952c7c3e1ca4897de3,9e-05,0,21.684202917798817,21.684,100.0,16.667,206,47,53,False
0xd6990765dd813b61729391ad13686ec68937eeea,0.01304,68,26.61699400745562,25.0,93.92,0.081,476,18,19,True
0xc58550d4e678dec64d018f697b57c6d6b0897926,0.00024,68,8.554878544853654,0.0,0.0,0.061,494,14,15,True
0xb120999ac0ebaf972d6f137034d7a2e682108fba,0.00083,68,2.9936233711783924,0.0,0.0,1.465,111,30,33,False
0xce558aa697e6e2d25a99d6a3cd53c029155c2d04,0.00159,68,5.317289660546929,0.0,0.0,1.545,101,23,28,False
0xc6a51530c0801e69d5e2d3a84da0ddeafc03851c,0.01935,68,2.3556106814718496,0.0,0.0,0.098,160,3,6,True
0xb7d9945166e3da89ee4c0947230753d656d116a5,2.47611,68,4.236914048918278,0.0,0.0,0.042,447,7,9,True
0xd07ab85ac96651bfffa8853ce737e3a87dd5bd56,1e-05,4,9.931601982695415,63.56617010869542,100.0,8.333,195,50,50,False
0xdce29c7f6611ba8d730c09438a591ec7764f669d,0.01149,7,3.434095765518149,6.277417714017166,100.0,0.824,113,42,42,False
0x96a3ffd7ea4bdcbd706c55027d97eb5c53a0f28c,0.00975,34,212.73244550101813,1261.4335864819554,100.0,0.026,228,1,4,True
0x850caea9a14f36cda2e8cecefefaf5a97e7e7b09,0.012,68,3.5680696538742525,0.01,0.28,1.486,95,26,29,False
0x8c69f8d2f360d0bd12cb73b92e90a380e32987bb,0.00406,68,73.72037771094513,10.0,13.56,0.251,499,54,46,True
0x5d4675b3e78fe0d8f61f92d54b2a8e05a39d5185,0.0022,36,2.962665591891036,4.712,100.0,0.639,115,28,25,False
0x4bb24ce37ab8a1d87448788c1794f1a3513efc9b,0.09379,48,240.32486772764884,1017.1922298080898,100.0,0.036,491,5,12,True
0xea1ca9c2b8ad43427b95c691648ea23155ae4eec,0.00399,1,6.209013871804836,42.857339651998565,100.0,0.186,316,29,20,False
0xb319e3bd2e8394e62e96c612c6741612f9ce2aaa,0.04242,68,3.761511905347149,0.0,0.0,0.053,314,5,8,False
0x4736a6de79fb78094ea1aa1c1886310ea0963edd,0.0002,68,86.84923007653188,0.0,0.0,0.016,320,0,4,True
0x2d9352ef300faa9376ebcb400c54945aadcc3f5b,0.00982,68,4.069676020980759,0.0,0.0,1.846,94,23,25,False
