address,balance,Days_held,Amount_Received(OP),Amount_Sold(OP),percentage_spent,TDR,Wallet_Age(Days),From_Count,To_Count,Past_participant,duration
0x0bd27fac898a59680b9dc92bb7378df610825e8d,0.66757,0,254.33526011560696,709.0,100.0,0.602,487,54,46,True,Less than a week
0x6f74d678f1f70b88f19e458fd3f5f29a83cdbf4e,0.057,3,15.978754451309973,15.978754451309973,100.0,0.039,321,7,5,True,Less than a week
0x1cf3b4b3906748dc15fb1ef5cc7a3adebd0e2115,0.00115,45,16.17606616697618,24.391108189214627,100.0,20.0,212,48,52,False,Over 4 weeks
0x8f3f7f7698d9977f8d08102f0e800a2c414115fc,0.01441,68,16.161167824368228,2.7276867350837297,16.88,5.556,216,41,59,False,Over 4 weeks
0xd47db9ca7aa3b49090671a6c809944a3e36a6b54,0.00029,68,3.1606250423710347,3.16,99.98,0.535,168,26,28,False,Over 4 weeks
0x58adab7ba988db904aedd35830f3b2b4fd0f06cf,0.04575,68,6.267787161302316,0.0,0.0,0.012,321,1,2,True,Over 4 weeks
0xef29d88e6a77f9b65c78352b210c618b0c725bec,0.00292,68,3.775695438358909,1.0,26.49,0.864,126,25,26,False,Over 4 weeks
0xf1dc615d9bdce012bdf4c6249e487aa2c60bd272,0.00074,37,3.2838014537530555,3.284531772709058,100.0,0.677,96,22,22,False,Over 4 weeks
0x6cf77b3e177accfe70b0a16b201aeec89e0dbf00,0.00309,68,5.260238706620056,2.460283965343026,46.77,0.264,296,37,39,False,Over 4 weeks
0x4d0b8e10d030b5c984a475191f6695c21ed5156b,0.00263,0,7.298703366788742,7.398703366788742,100.0,0.14,478,26,40,True,Less than a week
0x05b116d8a35326cff3529ea1a23806323c5510a7,0.00326,39,5.017039076279237,13.0,100.0,0.561,124,30,34,False,Over 4 weeks
0x79c19906ffcd300d421532fc7a586dc09e499f71,0.00203,2,3.104848938971253,3.3,100.0,1.514,100,27,26,False,Less than a week
0xc9510fe4ea7a3d9abbac1f3806ca35ef85c7a6c8,0.00198,0,6.09338673580576,6.093386735805761,100.0,0.036,401,6,6,False,Less than a week
0x811ddc79c4db8c4daf3a0b2958be674e020feb69,0.00104,68,3.848504400265663,0.0,0.0,1.568,105,26,32,False,Over 4 weeks
0xe709d7cbadc56c331db86a952c7c3e1ca4897de3,9e-05,0,21.684202917798817,21.684,100.0,16.667,206,47,53,False,Less than a week
0xd6990765dd813b61729391ad13686ec68937eeea,0.01304,68,26.61699400745562,25.0,93.92,0.081,476,18,19,True,Over 4 weeks
